박쥐문별전,ㅂㅏㄱᴥㅈㅟᴥㅁㅜㄴᴥㅂㅕㄹᴥㅈㅓㄴᴥ
목조아미타불좌상,ㅁㅗㄱᴥㅈㅗᴥㅇㅏᴥㅁㅣᴥㅌㅏᴥㅂㅜㄹᴥㅈㅘᴥㅅㅏㅇᴥ
개원사,ㄱㅐᴥㅇㅝㄴᴥㅅㅏᴥ
개자원화전,ㄱㅐᴥㅈㅏᴥㅇㅝㄴᴥㅎㅘᴥㅈㅓㄴᴥ
개자점,ㄱㅐᴥㅈㅏᴥㅈㅓㅁᴥ
개코원숭이,ㄱㅐᴥㅋㅗᴥㅇㅝㄴᴥㅅㅜㅇᴥㅇㅣᴥ
개태사,ㄱㅐᴥㅌㅐᴥㅅㅏᴥ
석조삼존불입상,ㅅㅓㄱᴥㅈㅗᴥㅅㅏㅁᴥㅈㅗㄴᴥㅂㅜㄹᴥㅇㅣㅂᴥㅅㅏㅇᴥ
개화사,ㄱㅐᴥㅎㅘᴥㅅㅏᴥ
갤러리,ㄱㅐㄹᴥㄹㅓᴥㄹㅣᴥ
갯버들,ㄱㅐㅅᴥㅂㅓᴥㄷㅡㄹᴥ
거동사 대웅전,ㄱㅓᴥㄷㅗㅇᴥㅅㅏᴥ ㄷㅐᴥㅇㅜㅇᴥㅈㅓㄴᴥ
거리미술,ㄱㅓᴥㄹㅣᴥㅁㅣᴥㅅㅜㄹᴥ
거먕색,ㄱㅓᴥㅁㅑㅇᴥㅅㅐㄱᴥ
뉴욕,ㄴㅠᴥㅇㅛㄱᴥ
거벽,ㄱㅓᴥㅂㅕㄱᴥ
물결문,ㅁㅜㄹᴥㄱㅕㄹᴥㅁㅜㄴᴥ
십이지문,ㅅㅣㅂᴥㅇㅣᴥㅈㅣᴥㅁㅜㄴᴥ
꽃문,ㄲㅗㅊᴥㅁㅜㄴᴥ
기하문,ㄱㅣᴥㅎㅏᴥㅁㅜㄴᴥ
거북,ㄱㅓᴥㅂㅜㄱᴥ
거북등,ㄱㅓᴥㅂㅜㄱᴥㄷㅡㅇᴥ
